,IN
contracts,NNS
,,,
subject,JJ
certain,JJ
conditions,NNS
(,(
see,VB
8,CD
b,NNS
),)
),)
,,,
holders,NNS
current,JJ
Honorary,NNP
appointments,NNS
University,NNP
actively,RB
engaged,VBD
profession,NN
discipline,NN
.,.
Page,VB
17,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
The,DT
role,NN
supervisory,NN
team,NN
,,,
collectively,RB
,,,
provide,VB
candidates,NNS
research,NN
degrees,VBZ
academic,JJ
pastoral,JJ
guidance,NN
pursue,NN
advanced,VBD
study,NN
research,NN
.,.
The,DT
potential,JJ
conflict,NN
interest,NN
,,,
either,CC
members,NNS
supervisory,JJ
team,NN
team,NN
candidate,NN
,,,
considered,VBN
appointments,NNS
made,VBN
.,.
Fixed-term,JJ
contract,NN
research,NN
staff,NN
may,MD
members,NNS
supervisory,JJ
teams,NNS
may,MD
primary,VB
supervisors,NNS
without,IN
prior,JJ
permission,NN
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
.,.
c,NN
),)
Role,NNP
primary,JJ
supervisor,VBD
The,DT
primary,JJ
supervisor,NN
responsible,JJ
overall,JJ
management,NN
direction,NN
research,NN
degree,JJ
candidate,NN
addition,NN
issues,NNS
relating,VBG
candidate,NN
's,POS
registration,NN
progress,NN
.,.
The,DT
primary,JJ
supervisor,NN
normally,RB
contracted,VBD
period,NN
service,NN
least,JJS
long,JJ
expected,JJ
Period,NNP
Registration,NNP
candidate,NN
.,.
The,DT
primary,JJ
supervisor,NN
line,NN
communication,NN
University,NNP
.,.
ame,NN
must,MD
notified,VB
writing,VBG
research,NN
degree,NN
candidate,NN
offer,NN
letter,NN
degree,JJ
question,NN
.,.
),)
Roles,NNPS
supervisory,JJ
team,NN
members,NNS
The,DT
second,JJ
supervisor,NN
(,(
cases,NNS
additional,JJ
supervisory,JJ
team,NN
members,NNS
),)
appointed,VBD
contribute,NN
specific,JJ
expertise,NN
assisting,VBG
primary,JJ
supervisor,NN
throughout,IN
development,NN
research,NN
degree,NN
candidatedegree,NN
.,.
The,DT
second,JJ
supervisor,NN
may,MD
required,VB
offer,NN
specialist,NN
advice,NN
,,,
whilst,WP
knowledgeable,JJ
area,NN
research,NN
study,NN
,,,
required,VBN
specialist,NN
subject,JJ
expertise,NN
primary,NN
supervisor,NN
.,.
Membership,NNP
supervisory,JJ
team,NN
may,MD
change,VB
depending,VBG
direction,NN
taken,VBN
research,NN
project,NN
.,.
When,WRB
creating,VBG
new,JJ
team,NN
considering,VBG
changes,NNS
supervisory,JJ
team,NN
,,,
may,MD
helpful,VB
consider,VB
gender,JJR
balance,NN
team,NN
.,.
Requests,NNS
add,VBP
team,JJ
member,NN
existing,VBG
research,NN
degree,NN
candidates,NNS
supervisors,NNS
wish,JJ
create,VBP
diverse,JJ
team,NN
supported,VBD
appropriate,JJ
.,.
diversity,NN
membership,NN
Athena,NNP
SWAN,NNP
Charter,NNP
.,.
Members,NNS
supervisory,JJ
team,NN
expected,VBN
meet,JJ
candidate,JJ
frequency,NN
primary,NN
supervisor,NN
,,,
expected,VBN
read,JJ
candidatecandidate,NN
minimum,VBD
three,CD
times,NNS
per,IN
year,NN
.,.
The,DT
balance,NN
responsibility,NN
candidate-to-day,JJ
supervision,NN
negotiated,VBN
supervisors,NNS
,,,
consultation,NN
andidate,NN
,,,
research,NN
progresses,NNS
.,.
The,DT
School/Institute,JJ
ensure,VB
roles,NNS
supervisors,NNS
clear,JJ
supervisors,NNS
research,NN
degree,NN
candidates,NNS
.,.
Page,VB
18,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
e,NN
),)
External,NNP
supervisors,NNS
/,VBP
collaborating,VBG
supervisors,NNS
In,IN
circumstances,NNS
may,MD
appropriate,VB
appoint,JJ
external,JJ
supervisor,NN
,,,
example,NN
,,,
collaborations,NNS
within,IN
Doctoral,NNP
Training,NNP
Partnerships,NNP
industry,NN
partners,NNS
,,,
current,JJ
supervisor,NN
left,VBD
University,NNP
.,.
The,DT
primary,JJ
supervisor,NN
however,RB
based,VBN
University,NNP
;,:
exceptions,NNS
require,VBP
approval,NN
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
.,.
External,JJ
supervisors,NNS
expected,VBD
comparable,JJ
research,NN
experience,NN
fulfil,NN
selection,NN
criteria,NNS
applied,VBN
appointment,JJ
supervisors,NNS
University,NNP
.,.
Where,NNP
formal,JJ
collaborative,JJ
research,NN
degree,NN
arrangement,NN
approved,VBD
University,NNP
external,JJ
institution,NN
,,,
supervisors,NNS
must,MD
appointed,VBN
institutions,NNS
.,.
The,DT
collaborating,NN
supervisor,NN
take,VB
responsibility,NN
day-to-day,JJ
supervision,NN
research,NN
degree,JJ
candidate,NN
research,NN
programme,NN
whilst,VBD
attendance,JJ
external,JJ
organisation,NN
.,.
f,NN
),)
Mentoring,VBG
Support,NNP
Supervisors,NNPS
Members,NNPS
staff,NN
probationary,JJ
period,NN
appointment,NN
normally,RB
appointed,VBN
primary,JJ
supervisor,NN
.,.
The,DT
Head,NNP
School,NNP
Chair,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executive,NNP
supervision,NN
prior,RB
appointment,JJ
supervise,NN
first,JJ
year,NN
appointment,NN
.,.
It,PRP
expected,VBD
members,NNS
staff,NN
new,JJ
doctoral,JJ
supervision,NN
first,RB
engage,JJ
supervision,NN
second,JJ
supervisor,NN
member,NN
supervisory,JJ
team,NN
,,,
moving,VBG
sufficient,JJ
period,NN
experience,NN
primary,JJ
supervision,NN
.,.
A,DT
member,NN
staff,NN
normally,RB
act,JJ
primary,JJ
supervisor,NN
six,CD
research,NN
degree,NN
candidate,NN
time,NN
,,,
never,RB
ten,VBN
without,IN
prior,JJ
permission,NN
Faculty,NNP
Associate,NNP
Dean,NNP
.,.
Any,DT
member,NN
staff,NN
wishing,VBG
act,NN
primary,JJ
supervisor,NN
six,CD
research,NN
degree,NN
candidates,NNS
(,(
maximum,JJ
ten,NN
),)
,,,
must,MD
written,VBN
permission,NN
Head,NNP
School,NNP
Director,NNP
Institute,NNP
responsible,JJ
making,NN
sure,JJ
member,NN
staff,NN
concerned,VBN
overburdened,JJ
duties,NNS
.,.
The,DT
Head,NNP
School,NNP
Director,NNP
Institute,NNP
responsible,JJ
ensuring,VBG
new,JJ
members,NNS
staff,NN
members,NNS
supervisory,JJ
teams,NNS
identified,VBD
support,NN
,,,
existing,VBG
members,NNS
staff,NN
need,VBP
support,NN
,,,
whose,WP$
supervisory,JJ
load,NN
needs,NNS
adjusted,VBN
,,,
identified,VBN
annual,JJ
review,NN
see,VBP
Section,NNP
9,CD
),)
.,.
g,NN
),)
Supervisor,NNP
training,VBG
All,DT
newly-appointed,JJ
members,NNS
staff,NN
responsibility,NN
supervision,NN
,,,
existing,VBG
members,NNS
staff,NN
taking,VBG
first,JJ
supervisory,JJ
role,NN
,,,
required,VBN
attend,VBP
appropriate,JJ
programme,NN
development,NN
new,JJ
supervisors,NNS
.,.
Page,VB
19,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
In,IN
order,NN
continue,VBP
supervising,VBG
research,NN
degree,NN
candidates,NNS
,,,
experienced,VBD
supervisors,NNS
expected,VBD
attend,RB
continuing,VBG
professional,JJ
development,NN
sessions,NNS
relation,VBP
supervisory,JJ
role,NN
every,DT
three,CD
years,NNS
.,.
h,NN
),)
Absence,NNP
Departure,NNP
Supervisors,NNP
Any,NNP
absence,NN
primary,NN
supervisor,NN
longer,RB
eight,CD
weeks,NNS
,,,
case,NN
shorter,JJR
absence,NN
ready,JJ
availability,NN
supervision,NN
could,MD
doubt,VB
,,,
must,MD
dealt,VB
School,NNP
Institute,NNP
timely,JJ
manner,NN
.,.
The,DT
School,NNP
Institute,NNP
must,MD
establish,VB
whether,IN
supervisor,NN
able,JJ
communicate,NN
effectively,RB
appropriately,RB
research,NN
degree,JJ
candidate,NN
period,NN
absence,NN
.,.
If,IN
guaranteed,VBN
,,,
temporary,JJ
new,JJ
primary,NN
supervisor,NN
appointed,VBN
,,,
appointment,JJ
formally,RB
approved,VBN
recorded,VBN
via,IN
Schools,NNP
usual,JJ
mechanisms,NNS
,,,
candidate,NN
notified,VBD
writing,VBG
name,NN
person,NN
appointed,VBN
.,.
In,IN
case,NN
primary,NN
supervisor,NN
study,NN
leave,VBP
unavailable,JJ
continue,NN
supervision,NN
,,,
temporary,JJ
new,JJ
primary,NN
supervisor,NN
always,RB
appointed,VBN
.,.
The,DT
candidate,NN
informed,VBD
notified,VBN
writing,VBG
School,NNP
Institute,NNP
prior,RB
absence,RB
primary,JJ
supervisor,NN
.,.
If,IN
primary,JJ
supervisor,NN
leaves,VBZ
University,NNP
,,,
new,JJ
primary,NN
supervisor,NN
normally,RB
appointed,VBN
.,.
In,IN
exceptional,JJ
circumstances,NNS
(,(
e.g,NN
.,.
research,NN
degree,JJ
candidate,NN
near,IN
end,NN
Period,NNP
Study,NNP
suitably,RB
qualified,VBD
primary,JJ
supervisor,NN
available,JJ
),)
Head,NNP
School,NNP
Chair,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executive,NNP
decides,VBZ
best,JJS
interests,NNS
involved,VBD
departing,VBG
primary,JJ
supervisor,NN
remain,VBP
supervisory,JJ
team,NN
,,,
composition,NN
supervisory,NN
team,NN
reviewed,VBD
accordance,JJ
policies,NNS
set,VBN
composition,NN
supervisory,JJ
teams,NNS
,,,
appointment,NN
contracting,VBG
external,JJ
supervisors,NNS
.,.
In,IN
instances,NNS
change,VBP
primary,JJ
supervisor,NN
,,,
whatever,WDT
time,NN
period,NN
involved,VBN
,,,
proper,JJ
handover,NN
arrangements,NNS
place,NN
.,.
),)
Extent,NN
Supervision,NNP
A,NNP
distinction,NN
made,VBD
informal,JJ
contact,NN
supervisory,JJ
meetings,NNS
.,.
Informal,NNP
contact,NN
may,MD
include,VB
emails,NNS
,,,
impromptu,JJ
discussions,NNS
brief,VBP
telephone,NN
conversations,NNS
specific,JJ
issues,NNS
.,.
Whilst,NNP
invaluable,JJ
maintaining,VBG
contact,NN
research,NN
degree,JJ
candidate,NN
constitute,NN
formal,JJ
supervision,NN
.,.
Supervisory,JJ
meetings,NNS
scheduled,VBN
,,,
uninterrupted,JJ
time,NN
appropriate,JJ
environment,NN
.,.
The,DT
frequency,NN
,,,
purpose,JJ
method,NN
arranging,VBG
supervisory,JJ
meetings,NNS
communications,NNS
agreed,VBD
supervisory,JJ
team,NN
research,NN
degree,NN
candidate,NN
,,,
arrangements,NNS
kept,VBD
review,NN
.,.
Notes,CC
actions,NNS
agreed,VBD
supervisory,JJ
team,NN
candidate,NN
must,MD
kept,VB
inform,JJ
annual,JJ
review,NN
students,NNS
progress,NN
(,(
see,VB
also,RB
Section,NNP
9,CD
),)
.,.
The,DT
dates,NNS
supervisory,JJ
meetings,NNS
recorded,VBN
annual,JJ
review,NN
progress,NN
forms,NNS
.,.
Page,VB
20,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
j,NN
),)
Frequency,NNP
Supervision,NNP
The,DT
frequency,NN
supervisory,JJ
meetings,NNS
determined,VBD
nature,JJ
research,NN
undertaken,JJ
stage,NN
development,NN
research,NN
degree,NN
candidates,NNS
research,NN
normal,JJ
expectation,NN
would,MD
meetings,NNS
take,VB
place,NN
every,DT
month,NN
full-time,JJ
candidates,NNS
.,.
All,DT
disciplines,NNS
,,,
however,RB
,,,
expect,VBP
full-time,JJ
candidates,NNS
meet,JJ
supervisors,NNS
least,JJS
eight,CD
times,NNS
per,IN
year,NN
-,:
including,VBG
formal,JJ
progress,NN
review,NN
meetings,NNS
(,(
see,VB
Section,NNP
9,CD
),)
.,.
The,DT
meeting,NN
schedule,JJ
part,NN
time,NN
candidates,NNS
agreed,VBD
beginning,VBG
degree,NN
,,,
candidates,NNS
registered,VBD
part,NN
time,NN
basis,NN
expected,VBN
meet,RB
supervisor,JJ
least,JJS
four,CD
times,NNS
per,IN
year,NN
,,,
including,VBG
formal,JJ
progress,NN
review,NN
meetings,NNS
.,.
There,EX
annual,JJ
review,NN
progress,NN
two,CD
formal,JJ
progress,NN
meetings,NNS
included,VBD
minimum,JJ
eight,CD
formal,JJ
supervisory,JJ
meetings,NNS
.,.
Formal,NNP
progress,NN
review,NN
meetings,NNS
full-time,JJ
candidates,NNS
take,VBP
place,NN
minimum,JJ
frequency,NN
every,DT
four,CD
months,NNS
part-time,JJ
candidates,NNS
every,DT
six,CD
months,NNS
entire,JJ
Period,NNP
Registration,NNP
,,,
including,VBG
Period,NNP
Study,NNP
Registration-Only,JJ
Period,NNP
.,.
(,(
This,DT
applies,VBZ
period,NN
research,NN
project,NN
professional,JJ
doctorates,NNS
.,.
),)
agreement,NN
parties,NNS
,,,
use,NN
may,MD
made,VB
effective,JJ
forms,NNS
communication,NN
,,,
telephone,NN
video,NN
conferencing,NN
,,,
internet,NN
telephony,NN
meeting,NN
software,NN
.,.
A,DT
record,NN
kept,NN
outcomes,VBZ
progress,JJ
review,NN
meetings,NNS
.,.
Failure,NNP
attend,VBP
initial,JJ
supervisory,JJ
team,NN
meetings,NNS
without,IN
good,JJ
reason,NN
constitutes,NNS
breach,VBP
General,NNP
Regulation,NNP
1Engagement,CD
may,MD
lead,VB
action,NN
Disciplinary,NNP
Procedures,NNP
.,.
k,NN
),)
Guidance,NNP
Feedback,NNP
The,DT
primary,JJ
supervisor,NN
arrange,NN
meeting,NN
research,NN
degree,NN
candidate,NN
establish,VB
working,VBG
relationship,NN
within,IN
three,CD
weeks,NNS
registration,NN
.,.
This,DT
include,VBP
agreeing,VBG
responsibilities,NNS
expectations,NNS
well,RB
clarifying,VBG
critical,JJ
activities,NNS
dates,NNS
.,.
The,DT
candidate,NN
person,NN
responsible,JJ
conducting,VBG
research,NN
writing,VBG
thesis,NN
.,.
The,DT
primary,JJ
supervisor,NN
members,NNS
supervisory,JJ
team,NN
expected,VBN
offer,NN
advice,NN
guidance,NN
regularly,RB
,,,
discuss,JJ
skills,NNS
employability,NN
training,NN
courses,NNS
candidate,VBP
attend,NN
.,.
The,DT
role,NN
supervisory,NN
team,NN
members,NNS
also,RB
clarified,VBD
meeting,NN
.,.
Formal,NNP
feedback,NN
candidates,NNS
supervisory,JJ
process,NN
aspects,NNS
degree,VBP
programme,NN
incorporated,VBN
within,IN
Annual,NNP
Review,NNP
Research,NNP
candidates,NNS
feedback,RB
monitored,VBD
Page,NNP
21,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
School,NNP
Faculty,NNP
Graduate,NNP
School,NNP
Executive,NNP
(,(
Institute,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executive,NNP
),)
part,NN
annual,JJ
review,NN
monitoring,NN
reports,NNS
.,.
l,NN
),)
Registration-Only,RB
Period,NNP
The,DT
research,NN
degree,NN
candidate,NN
supervisory,NN
team,NN
meet,NN
within,IN
one,CD
month,NN
entering,VBG
Registration-Only,JJ
Period,NNP
,,,
discuss,NN
resource,NN
requirements,NNS
,,,
meeting,VBG
schedule,NN
relevant,JJ
arrangements,NNS
.,.
This,DT
discussion,NN
guided,VBD
need,MD
complete,VB
study,VB
programme,JJ
timely,JJ
fashion,NN
.,.
This,DT
meeting,NN
update,JJ
schedule,NN
production,NN
constituent,NN
chapters,NNS
thesis,VBP
review,NN
supervisory,NN
team,NN
,,,
set,VBN
additional,JJ
resources,NNS
facilities,NNS
may,MD
required,VB
.,.
),)
Post-viva,JJ
period,NN
The,DT
research,NN
degree,NN
candidate,NN
supervisory,NN
team,NN
meet,NN
shortly,RB
viva,FW
examination,NN
,,,
discuss,JJ
corrections,NNS
revisions,NNS
requested,VBD
examiners,NNS
.,.
Where,WRB
examiners,NNS
recommended,VBD
candidate,NN
submits,NNS
revised,VBN
thesis,NN
meeting,NN
schedule,NN
relevant,JJ
arrangements,NNS
agreed,VBD
facilitate,JJ
completion,NN
corrections,NNS
revised,VBD
thesis,NN
deadline,NN
specified,VBN
.,.
Formal,JJ
progress,NN
review,NN
meetings,NNS
full-time,JJ
candidates,NNS
take,VBP
place,NN
minimum,JJ
frequency,NN
every,DT
four,CD
months,NNS
part-time,JJ
candidates,NNS
every,DT
six,CD
months,NNS
resubmission,JJ
period,NN
.,.
n,CC
),)
Resolving,VBG
Problems,NNP
affecting,VBG
Supervision,NNP
At,IN
time,NN
research,NN
degree,NN
registration,NN
,,,
research,NN
degree,JJ
candidate,NN
may,MD
request,VB
change,NN
member,NN
supervisory,NN
team,NN
,,,
including,VBG
primary,JJ
supervisor,NN
.,.
Such,JJ
request,NN
normally,RB
met,VBN
(,(
insofar,JJ
practicable,JJ
contracted,VBN
terms,NNS
conditions,NNS
allow,VBP
),)
,,,
though,IN
decision,NN
make,VBP
change,NN
taken,VBN
lightly,RB
.,.
Informal,JJ
means,VBZ
resolving,VBG
problems,NNS
(,(
see,VB
Section,NNP
14,CD
),)
must,MD
exhausted,VBN
possible,JJ
effects,NNS
study,NN
considered,VBN
.,.
If,IN
change,NN
requested,VBD
,,,
candidate,VB
inform,NN
School/Institute,NNP
Director,NNP
Postgraduate,NNP
Research,NNP
School/Institute,NNP
registered,VBD
,,,
start,JJ
process,NN
.,.
Where,WRB
School/Institute,NNP
Director,NNP
Postgraduate,NNP
Research,NNP
member,NN
supervisory,NN
team,NN
candidates,NNS
discuss,VBP
concerns,NNS
Head,NNP
School,NNP
Chair,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executive,NNP
.,.
While,IN
candidate,NN
asked,VBD
indicate,JJ
wish,JJ
make,NN
change,NN
,,,
required,VBN
put,VBD
reason,NN
record,NN
(,(
reason,NN
supplied,VBN
confidentially,RB
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
),)
formal,NN
record,NN
made,VBD
reasons,NNS
change,NN
requested,VBN
.,.
Procedures,NNS
lodging,VBG
formal,JJ
complaint,NN
regarding,VBG
supervisory,JJ
arrangements,NNS
found,VBD
PGR,NNP
Service,NNP
webpages,NNS
(,(
see,VB
also,RB
Section,NNP
14,CD
),)
.,.
Page,VB
22,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
9.,CD
),)
Procedure,NN
Reviewing,VBG
Research,NNP
Degree,NNP
Candidate,NNP
Progress,NNP
Each,DT
supervisory,NN
team,NN
required,VBN
University,NNP
regulations,NNS
complete,JJ
online,JJ
annual,JJ
review,NN
process,NN
year,NN
including,VBG
research,NN
degree,JJ
candidateRegistration-Only,JJ
Period,NNP
(,(
professional,JJ
doctorates,NNS
requirement,JJ
commences,NNS
research,NN
project,NN
),)
.,.
The,DT
core,NN
elements,VBZ
procedure,JJ
management,NN
progress,NN
research,NN
degree,NN
candidate,NN
follows,VBZ
:,:
process,NN
involve,VBP
dialogue,NN
supervisory,NN
team,NN
candidate,NN
report,NN
discussed,VBD
submission,NN
.,.
The,DT
notes,NNS
actions,NNS
agreed,VBD
supervisory,JJ
team,NN
candidate,NN
available,JJ
candidate,NN
team,NN
inform,NN
annual,JJ
review,NN
;,:
dialogue,JJ
candidate,NN
supervisory,NN
team,NN
focus,NN
upon,IN
specific,JJ
effort,NN
pinpoint,NN
weaknesses,NNS
deal,VBP
potential,JJ
problems,NNS
become,VBP
intractable,JJ
;,:
process,NN
include,VBP
candidate,NN
completing,VBG
online,JJ
submission,NN
.,.
This,DT
submission,NN
take,VB
form,NN
self-evaluation,NN
work,NN
undertaken,JJ
,,,
training,VBG
undertaken,JJ
,,,
development,NN
intellectual,JJ
skills,NNS
,,,
progress,NN
towards,NNS
meeting,VBG
research,NN
goals,NNS
success,NN
supervisory,JJ
arrangements,NNS
previous,JJ
year,NN
;,:
supervisory,JJ
team,NN
,,,
considered,VBN
submission,NN
,,,
address,NN
matters,NNS
written,VBN
submission,NN
;,:
progress,CC
report,NN
include,VBP
,,,
addition,NN
two,CD
written,VBN
submissions,NNS
,,,
schedule,NN
completion,NN
thesis,NN
agreed,VBD
candidate,JJ
supervisory,JJ
team,NN
;,:
research,NN
degree,NN
candidates,NNS
informed,VBD
right,JJ
discuss,NN
progress,NN
School,NNP
Institute,NNP
designated,VBD
responsible,JJ
academic,JJ
(,(
School/Institute,NNP
Director,NNP
Postgraduate,NNP
Research,NNP
),)
private,JJ
meeting,NN
.,.
During,IN
first,JJ
year,NN
registration,NN
(,(
equivalent,JJ
part-time,NN
candidates,NNS
),)
,,,
status,NN
PhD,NNP
,,,
MPhil,NNP
,,,
MD,NNP
Masters,NNP
Research,NNP
candidates,NNS
,,,
EdD,NNP
candidates,NNS
starting,VBG
1,CD
October,NNP
2019,CD
,,,
probationary,JJ
first,JJ
annual,JJ
review,NN
(,(
equivalent,JJ
part-time,NN
candidates,NNS
),)
includes,VBZ
Probationary,NNP
Review,NNP
Meeting,NNP
consider,NN
status,NN
.,.
b,NN
),)
Process,NNP
Annual,NNP
Review,NNP
Research,NNP
Student,NNP
Progress,NNP
The,DT
review,NN
research,NN
degree,NN
candidatetored,VBD
annually,RB
timetable,JJ
approved,JJ
Doctoral,NNP
College,NNP
Executive,NNP
.,.
The,DT
process,NN
monitoring,NN
follows,VBZ
:,:
Individual,JJ
research,NN
degree,JJ
candidate,NN
reports,NNS
considered,VBN
appropriate,JJ
School/Institute,NNP
Director,NNP
Postgraduate,NNP
Research,NNP
,,,
case,NN
Page,NNP
23,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
staff,NN
candidates,NNS
,,,
Faculty,NNP
/,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executive,NNP
,,,
action,NN
determined,VBD
,,,
timetable,JJ
completion,NN
action,NN
confirmed,VBD
;,:
The,DT
School/Institute,NNP
Director,NNP
Postgraduate,NNP
Research,NNP
provide,VBP
summary,JJ
report,NN
outcome,VBD
Annual,NNP
Review,NNP
process,NN
Faculty,NNP
/,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executive,NNP
consideration,NN
;,:
The,DT
summary,JJ
report,NN
include,VBP
confirmation,NN
process,NN
completed,VBN
candidates,NNS
,,,
including,VBG
action,NN
agreed,VBD
progress,NN
maintained,VBD
,,,
summary,JJ
issues,NNS
arising,VBG
Annual,NNP
Review,NNP
process,NN
(,(
may,MD
appropriate,VB
minutes,NNS
committees,NNS
commentary,VBP
themes,NNS
specific,JJ
issues,NNS
),)
,,,
non-confidential,JJ
statistical,JJ
section,NN
indicating,VBG
progress,NN
;,:
Faculty,NNP
/,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executives,NNP
monitor,NN
refer,VBP
back,RB
School/Institute,NNP
issues,NNS
concern,NN
arising,VBG
Annual,NNP
Review,NNP
process,NN
subsequent,JJ
reports,NNS
Review,NNP
requires,VBZ
;,:
Faculty,NNP
/,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executives,NNP
confirm,VBP
completion,NN
process,NN
Doctoral,NNP
College,NNP
Executive,NNP
(,(
behalf,JJ
LTC,NNP
),)
report,NN
issues,NNS
trends,NNS
might,MD
need,VB
considered,VBN
University,NNP
arising,VBG
Annual,NNP
Review,NNP
process,NN
.,.
10,CD
.,.
Skills,NNP
Employability,NNP
Training,NNP
The,DT
University,NNP
committed,VBN
provision,NN
skills,NNS
employability,NN
training,NN
research,NN
degree,NN
candidates,NNS
,,,
taking,VBG
account,JJ
national,JJ
standards,NNS
including,VBG
Vitae,NNP
Researcher,NNP
Development,NNP
Framework,NNP
expectations,NNS
Research,NNP
Councils,NNP
.,.
All,NNP
research,NN
degree,NN
candidates,NNS
expected,VBD
actively,RB
participate,JJ
Training,NNP
Pathway,NNP
programmes,NNS
specified,VBD
Faculties,NNS
,,,
Graduate,NNP
Schools,NNP
Institutes,NNP
,,,
supervisors,NNS
expected,VBD
support,NN
candidates,NNS
developing,VBG
personal,JJ
skills,NNS
employability,NN
.,.
Failure,NN
engage,NN
training,NN
programmes,NNS
provided,VBD
and/or,JJ
accumulate,NN
required,VBN
PPD,NNP
credit,NN
per,IN
year,NN
comply,NN
Training,NNP
Pathway,NNP
requirements,NNS
constitutes,VBZ
breach,VBP
E,NNP
may,MD
lead,VB
action,NN
Disciplinary,NNP
Procedures,NNP
.,.
11,CD
.,.
Preparation,NN
Submission,NNP
Thesis,NNP
),)
Before,IN
Submitting,VBG
Thesis,NNP
Candidates,NNP
research,NN
degrees,NNS
always,RB
consult,VBP
supervisory,JJ
team,NN
submitting,VBG
thesis,NN
examination,NN
.,.
However,RB
,,,
within,IN
limits,NNS
timing,VBG
submissions,NNS
set,VBD
Regulations,NNP
degree,NN
,,,
decision,NN
precisely,RB
submit,JJ
rests,NNS
candidate,NN
.,.
The,DT
thesis,NN
title,NN
normally,RB
approved,VBD
examiners,NNS
appointed,VBN
least,JJS
three,CD
months,NNS
thesis,RB
submitted,VBN
.,.
The,DT
thesis,NN
title,NN
approved,VBD
School/Institute,NNP
Director,NNP
Postgraduate,NNP
Research,NNP
,,,
examiners,VBZ
appointed,VBN
either,DT
Faculty,NNP
Associate,NNP
Dean,NNP
(,(
Postgraduate,NNP
Research,NNP
),)
equivalent,NN
,,,
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
.,.
Appointment,NN
examiners,NNS
(,(
Section,NNP
12,CD
),)
Page,NN
24,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
lengthy,NN
process,NN
delay,NN
requesting,VBG
appointment,JJ
examiners,NNS
may,MD
lead,VB
delay,NN
examination,NN
thesis,NN
.,.
b,NN
),)
Rules,VBZ
Form,NNP
Submission,NNP
Work,NNP
There,EX
single,JJ
definition,NN
adequately,RB
define,JJ
structure,NN
content,NN
good,JJ
thesis,NN
general,JJ
approval,NN
thesis,NN
supervisory,JJ
team,NN
primary,NN
supervisor,NN
taken,VBN
guarantee,NN
acceptability,NN
examiners,NNS
.,.
There,EX
,,,
however,RB
,,,
rules,NNS
form,VBP
submission,NN
thesis,NN
,,,
including,VBG
use,NN
work,NN
within,IN
thesis,NN
formed,VBN
part,NN
solely,RB
jointly,RB
authored,JJ
publications,NNS
.,.
These,DT
set,VBN
Research,NNP
Degree,NNP
Policy,NNP
Document,NNP
3,CD
.,.
There,EX
also,RB
Regulations,NNPS
detailing,VBG
requirements,NNS
assessment,JJ
attaching,VBG
particular,JJ
postgraduate,NN
research,NN
awards,NNS
.,.
Research,NNP
degree,JJ
candidates,NNS
consult,VBP
appropriate,JJ
Regulations,NNPS
prior,JJ
preparation,NN
thesis,NN
.,.
Specified,VBN
word-limits,JJ
exist,NN
theses,NNS
.,.
These,DT
published,VBN
Regulations,NNS
degree,VBP
candidates,NNS
consult,VBP
ensure,VB
thesis,NN
long,RB
.,.
Specific,JJ
Regulations,NNPS
,,,
published,VBN
Calendar,NNP
,,,
apply,VB
submission,NN
theses,NNS
research,NN
degrees,NNS
submitted,VBD
candidates,NNS
School,NNP
Literature,NNP
,,,
Drama,NNP
Creative,NNP
Writing,NNP
(,(
Creative,NNP
Critical,NNP
Writing,NNP
;,:
Literary,NNP
Translation,NNP
),)
School,NNP
